"geneID"	"Function"
"1"	"Rsub_00001"	"hypothetical_protein"
"2"	"Rsub_00002"	"DUS3; tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]"
"3"	"Rsub_00009"	"hypothetical_protein"
"4"	"Rsub_00013"	"UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5"
"5"	"Rsub_00015"	"hypothetical_protein"
"6"	"Rsub_00017"	"HOL; methyl halide transferase [EC:2.1.1.165]"
"7"	"Rsub_00018"	"ARF1_2; ADP-ribosylation factor 1/2"
"8"	"Rsub_00021"	"SAR1; GTP-binding protein SAR1 [EC:3.6.5.-]"
"9"	"Rsub_00022"	"hypothetical_protein"
"10"	"Rsub_00023"	"hypothetical_protein"
"11"	"Rsub_00024"	"hypothetical_protein"
"12"	"Rsub_00025"	"CPSF4, YTH1; cleavage and polyadenylation specificity factor subunit 4"
"13"	"Rsub_00026"	"HPT, HGGT, ubiA; homogentisate phytyltransferase / homogentisate geranylgeranyltransferase [EC:2.5.1.115 2.5.1.116]"
"14"	"Rsub_00027"	"PPIP5K, VIP; inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]"
"15"	"Rsub_00028"	"hypothetical_protein"
"16"	"Rsub_00029"	"hypothetical_protein"
"17"	"Rsub_00031"	"hypothetical_protein"
"18"	"Rsub_00032"	"crtW, BKT; beta-carotene/zeaxanthin 4-ketolase [EC:1.14.99.63 1.14.99.64]"
"19"	"Rsub_00036"	"hypothetical_protein"
"20"	"Rsub_00038"	"efp; elongation factor P"
"21"	"Rsub_00040"	"hypothetical_protein"
"22"	"Rsub_00043"	"metB; cystathionine gamma-synthase [EC:2.5.1.48]"
"23"	"Rsub_00045"	"SRPK3, STK23; serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]"
"24"	"Rsub_00047"	"RP-L44e, RPL44; large subunit ribosomal protein L44e"
"25"	"Rsub_00049"	"U2AF2; splicing factor U2AF 65 kDa subunit"
"26"	"Rsub_00050"	"USP22_27_51, UBP8; ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]"
"27"	"Rsub_00051"	"hypothetical_protein"
"28"	"Rsub_00052"	"hypothetical_protein"
"29"	"Rsub_00053"	"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
"30"	"Rsub_00054"	"ACOT9; acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]"
"31"	"Rsub_00056"	"hypothetical_protein"
"32"	"Rsub_00057"	"ACO; aconitate hydratase [EC:4.2.1.3]"
"33"	"Rsub_00058"	"hypothetical_protein"
"34"	"Rsub_00059"	"psaF; photosystem I subunit III"
"35"	"Rsub_00068"	"RAGE, MOK; renal tumor antigen [EC:2.7.11.22]"
"36"	"Rsub_00069"	"hypothetical_protein"
"37"	"Rsub_00071"	"gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"38"	"Rsub_00072"	"hypothetical_protein"
"39"	"Rsub_00074"	"AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]"
"40"	"Rsub_00076"	"PP2C; protein phosphatase 2C [EC:3.1.3.16]"
"41"	"Rsub_00081"	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"42"	"Rsub_00084"	"COG3, SEC34; conserved oligomeric Golgi complex subunit 3"
"43"	"Rsub_00088"	"hypothetical_protein"
"44"	"Rsub_00091"	"XYL4; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
"45"	"Rsub_00092"	"NAT10, KRE33; N-acetyltransferase 10 [EC:2.3.1.-]"
"46"	"Rsub_00093"	"hypothetical_protein"
"47"	"Rsub_00096"	"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"
"48"	"Rsub_00097"	"hypothetical_protein"
"49"	"Rsub_00099"	"PHOT; phototropin [EC:2.7.11.1]"
"50"	"Rsub_00102"	"hypothetical_protein"
"51"	"Rsub_00105"	"hypothetical_protein"
"52"	"Rsub_00113"	"hypothetical_protein"
"53"	"Rsub_00114"	"hypothetical_protein"
"54"	"Rsub_00115"	"hypothetical_protein"
"55"	"Rsub_00116"	"hypothetical_protein"
"56"	"Rsub_00117"	"hypothetical_protein"
"57"	"Rsub_00118"	"hypothetical_protein"
"58"	"Rsub_00120"	"GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]"
"59"	"Rsub_00122"	"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
"60"	"Rsub_00123"	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
"61"	"Rsub_00127"	"BRCA2, FANCD1; breast cancer 2 susceptibility protein"
"62"	"Rsub_00132"	"MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]"
"63"	"Rsub_00134"	"hypothetical_protein"
"64"	"Rsub_00136"	"RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae"
"65"	"Rsub_00137"	"PLA2G7, PAFAH; platelet-activating factor acetylhydrolase [EC:3.1.1.47]"
"66"	"Rsub_00139"	"ZDHHC3_7_25; palmitoyltransferase ZDHHC3/7/25 [EC:2.3.1.225]"
"67"	"Rsub_00143"	"hypothetical_protein"
"68"	"Rsub_00146"	"XRN1, SEP1, KEM1; 5'-3' exoribonuclease 1 [EC:3.1.13.-]"
"69"	"Rsub_00147"	"hypothetical_protein"
"70"	"Rsub_00148"	"YEATS4, GAS41, YAF9; YEATS domain-containing protein 4"
"71"	"Rsub_00149"	"FOLK; farnesol kinase [EC:2.7.1.216]"
"72"	"Rsub_00151"	"selB, EEFSEC; selenocysteine-specific elongation factor"
"73"	"Rsub_00154"	"hypothetical_protein"
"74"	"Rsub_00157"	"hypothetical_protein"
"75"	"Rsub_00161"	"FAM50, XAP5; protein FAM50"
"76"	"Rsub_00166"	"relA; GTP pyrophosphokinase [EC:2.7.6.5]"
"77"	"Rsub_00167"	"ACL5; thermospermine synthase [EC:2.5.1.79]"
"78"	"Rsub_00168"	"hypothetical_protein"
"79"	"Rsub_00169"	"PEX12, PAF3; peroxin-12"
"80"	"Rsub_00170"	"CCNB; G2/mitotic-specific cyclin-B, other"
"81"	"Rsub_00172"	"E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]"
